Area,Price
500,6000
473,13799
779,17500
635,18824
550,2538
900,11150
950,12174
1820,17526
675,10000
647,5736
600,11250
430,8571
665,15000
557,12213
870,10940
288,6648
925,14344
434,7287
1350,17827
850,15196
467,11608
849,11008
440,9643
639,12369
600,4070
620,13750
550,11667
367,4571
600,9750
880,12821
380,8246
375,5974
636,11905
600,8750
661,11765
686,5611
950,11481
504,3876
799,15385
320,18750
650,10000
586,7338
1200,17333
590,7059
960,11458
1168,13699
500,7438
1200,11765
920,12618
460,13167
404,8000
624,8173
510,5091
450,11159
420,8413
744,13866
740,12526
479,10709
445,7692
686,8571
410,7763
775,5500
400,5893
759,13591
530,12179
1041,12605
735,8248
370,6429
770,4403
430,12329
410,8333
688,4583
640,9554
680,14706
1073,21994
1356,18044
400,8571
483,11594
453,6691
750,7143
800,16162
760,17017
500,10256
1704,17949
587,9913
699,10010
1350,16176
763,22418
1140,16667
889,12963
490,4677
415,8983
1140,20690
735,17368
490,15217
452,13982
450,13333
894,10400
640,11134
640,11239
758,13680
1153,13078
671,4611
1170,7485
600,8300
848,13364
650,11734
913,15812
366,16579
750,14515
706,18703
612,7054
730,10690
510,4664
961,5443
1228,19003
480,5882
551,14576
435,10563
430,12557
1359,15508
640,14444
495,11717
1650,13111
540,8058
650,11942
870,10400
830,14615
763,5254
480,6988
370,12973
454,6408
750,16517
721,22053
575,7545
790,14846
1100,19933
700,6816
790,15308
500,14519
1203,19075
438,5000
510,7129
1350,17827
546,7326
379,14118
500,8182
495,11111
1012,17981
526,6049
692,3584
879,11818
410,7886
400,7833
640,9444
2024,17968
630,21028
375,5094
435,9692
650,9333
450,14286
511,5455
702,21937
440,6923
663,9500
475,4478
330,8545
650,8947
1011,16889
500,4545
650,11423
1190,18868
420,3954
790,16231
450,5496
1090,12452
400,10638
438,9692
833,14091
900,7326
1300,15658
720,16111
640,11450
345,4667
385,5736
384,6249
450,11259
650,11526
510,6744
810,16296
800,22000
670,11486
500,7071
804,22015
1040,14123
672,10187
500,4801
650,11838
450,4215
525,6400
620,7222
434,9358
769,15516
